Representation,PTC,FOPPA,MUTAG,DD,NCI1
GenBin,0.56 (0.16),0.93 (0.03),0.86 (0.05),0.76 (0.04),0.78 (0.02)
GenOcc,0.08 (0.19),0.91 (0.03),0.88 (0.04),0.76 (0.03),0.77 (0.02)
IndBin,0.57 (0.13),0.96 (0.02),0.87 (0.05),0.76 (0.03),0.78 (0.02)
IndOcc,0.26 (0.28),0.92 (0.02),0.88 (0.03),0.76 (0.04),0.78 (0.02)
CloBin,0.54 (0.18),0.94 (0.03),0.86 (0.05),0.70 (0.04),0.80 (0.01)
CloOcc,0.16 (0.25),0.92 (0.02),0.88 (0.04),0.0 (0.0),0.80 (0.01)
CORK,0.56 (0.10),0.63 (0.05),0.66 (0.08),0.73 (0.03),0.75 (0.03)
WL,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
WLOA,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
G2V,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
DGCNN,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
